year,data,quarter,sex,length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2013,landings,3,male,27,,2,3,7,2,,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,29,,3,11,13,6,,,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,31,,,12,21,4,1,2,,1,,,,,,,,,,,,,,,,,
2013,landings,3,male,33,,,9,6,5,3,1,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,35,,,2,7,5,1,2,,,,,,,,,,,,,,,,,,,
2013,landings,3,male,37,,,,,,,2,1,,,,,,,,,,,,,,,,,,
2013,landings,4,female,27,1,2,4,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,29,1,4,21,3,,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,31,,6,32,10,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,33,,5,26,21,1,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,35,,,15,23,14,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,37,,,7,29,11,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,39,,,5,20,13,8,,1,,,,,,,,,,,,,,,,,,
2013,landings,4,female,41,,,2,12,9,8,6,,1,,,,,,,,,,,,,,,,,
2013,landings,4,female,43,,,1,8,7,9,2,2,1,,,,,,,,,,,,,,,,,
2013,landings,4,female,45,,,,5,,2,4,,2,,,,,,,,,,,,,,,,,
2013,landings,4,female,47,,,,,2,5,4,1,1,,,1,,,,,,,,,,,,,,
2013,landings,4,female,49,,,,,1,,1,,2,1,,,,,,,,,,,,,,,,
2013,landings,4,female,51,,,,,1,,1,2,1,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,53,,,,,,,,,,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,55,,,,,,,,,,,1,,,,1,,,,,,,,,,,
2013,landings,4,female,57,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,female,59,,,,,,,,,,,2,,,,,,,,,,,,,,,
2013,landings,4,male,23,,1,,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,25,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,27,,1,6,2,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,29,,6,15,7,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,31,,4,16,14,,1,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,33,,,11,16,5,2,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,35,,,7,8,2,1,3,,1,,,,,,,,,,,,,,,,,
2013,landings,4,male,37,,,1,3,2,,,1,1,,,,,,,,,,,,,,,,,
2013,landings,4,male,39,,,,,,,1,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,41,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,landings,4,male,43,,,,,,1,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,25,,,2,,1,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,27,,2,9,16,1,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,29,,1,20,20,8,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,31,,,13,25,12,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,33,,,5,19,22,6,1,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,35,,,3,21,17,8,4,1,,,,,,,,,,,,,,,,,,
2014,landings,1,female,37,,,4,11,16,13,2,1,,,,,,,,,,,,,,,,,,
2014,landings,1,female,39,,,,4,17,11,1,3,2,,,,,,,,,,,,,,,,,
2014,landings,1,female,41,,,,,11,12,5,4,2,,,,,,,,,,,,,,,,,
2014,landings,1,female,43,,,,1,8,1,8,3,1,,,,2,,,,,,,,,,,,,
2014,landings,1,female,45,,,,,3,3,4,4,,,,,,,,,,,,,,,,,,
2014,landings,1,female,47,,,,,,,2,4,2,1,,1,,,,,,,,,,,,,,
2014,landings,1,female,49,,,,,,,3,2,3,,2,2,,,,,,,,,,,,,,
2014,landings,1,female,51,,,,,,,,1,2,1,,,2,,2,,,,,,,,,,,
2014,landings,1,female,53,,,,,,,,,,2,,,1,1,2,,,,,,,,,,,
2014,landings,1,female,55,,,,,,,,,,,,1,,,1,,,,,,,,,,,
2014,landings,1,female,57,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,female,59,,,,,,,,,,,,,,1,,,,,,,,,,,,
2014,landings,1,male,25,,1,,3,,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,male,27,,4,4,10,2,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,male,29,,4,7,18,3,,,,,,,,,,,,,,,,,,,,,
2014,landings,1,male,31,,,11,13,5,3,,,,,,,,,,,,,,,,,,,,
2014,landings,1,male,33,,1,2,10,3,3,,,1,,,,,,,,,,,,,,,,,
2014,landings,1,male,35,,,1,6,6,1,1,1,,,,,,,,,,,,,,,,,,
2014,landings,1,male,37,,,,5,3,1,,,,1,,,,,,,,,,,,,,,,
2014,landings,2,female,25,,,1,,,1,,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,27,,3,9,3,,,,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,29,,1,12,18,,,,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,31,,1,6,22,5,2,,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,33,,,6,16,13,7,1,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,35,,,2,18,12,3,3,,,,,,,,,,,,,,,,,,,
2014,landings,2,female,37,,,1,7,12,5,4,1,,,,,,,,,,,,,,,,,,
2014,landings,2,female,39,,,,4,8,2,7,1,,,,,,,,,,,,,,,,,,
2014,landings,2,female,41,,,,1,5,7,4,1,2,,,,,,,,,,,,,,,,,
2014,landings,2,female,43,,,,1,2,1,3,5,3,,,,,,,,,,,,,,,,,
2014,landings,2,female,45,,,,,2,2,2,3,3,,1,2,,,,,,,,,,,,,,
2014,landings,2,female,47,,,,,,2,3,3,1,,,,,,,,,,,,,,,,,
