"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","OTB_DEF_All_0_0_All",10357,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",69652,"kWd",727.39,"Landings","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",69652,"kWd",125.5,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",87911,"kWd",210.52,"Landings","R-Reported","Imported"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",87911,"kWd",213.06,"Discards","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",56299,"kWd",313.96,"Landings","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",56299,"kWd",0,"Discards","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",92578,"kWd",887.69,"Landings","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","GNS_DEF_>=100_0_0",92578,"kWd",30.24,"Discards","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",48387,"kWd",457.3,"Landings","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",48387,"kWd",825.22,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",24014,"kWd",584.94,"Landings","R-Reported","Imported"
"France","2","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",24014,"kWd",1055.55,"Discards","R-Reported","Raised Discard"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",58462,"kWd",1799.94,"Landings","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",58462,"kWd",3248.08,"Discards","R-Reported","Raised Discard"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",77539,"kWd",1562.91,"Landings","R-Reported","Imported"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","OTT_DEF_100-119_0_0_all",77539,"kWd",2820.35,"Discards","R-Reported","Raised Discard"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,598,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,726,"Discards","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,2722,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,1549,"Discards","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,4365,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,176,"Discards","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,339,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",-9,NA,300,"Discards","A-All - reported, nonre","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",823508,"kWd",3754.34,"Landings","R-Reported","Imported"
"France","1","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",823508,"kWd",1287.16,"Discards","R-Reported","Raised Discard"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",995459,"kWd",3476.83,"Landings","R-Reported","Imported"
"France","3","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",995459,"kWd",1192.02,"Discards","R-Reported","Raised Discard"
"France","4","Quarter",2014,"ple.27.7e","27.7.e","MIS_MIS_0_0_0_HC",529934,"kWd",544.15,"Landings","R-Reported","Imported"
